Time [s],Packet ID,MOSI,MISO
1.9589819063,25,0x83,0xA2   SET TX
1.9589892500,25,0x00,0xA2   -> DELAY 0
1.9589958750,25,0x00,0xA2   ---
1.9590025000,25,0x00,0xA2   ---
2.0330898125,26,0x12,0xAC   GET IRQ STATUS
2.0330964375,26,0x00,0xAC
2.0331038438,26,0x00,0x00
2.0331105000,26,0x00,0x01
2.0331244688,27,0x02,0xAC   CLEAR IRQ
2.0331310625,27,0xFF,0xAC   
2.0331376875,27,0xFF,0xAC
3.0334385312,28,0xC0,0xAC   GET STATUS
3.0334451563,28,0x00,0x2C
3.0334570625,29,0x08,0xAC
3.0334636875,29,0x02,0xAC
3.0334703125,29,0x01,0xAC
3.0334769375,29,0x02,0xAC
3.0334835625,29,0x01,0xAC
3.0334901875,29,0x00,0xAC
3.0334968125,29,0x00,0xAC
3.0335034375,29,0x00,0xAC
3.0335100625,29,0x00,0xAC
3.0335272188,30,0xC0,0xAC
3.0335338125,30,0x00,0x2C
3.0335450625,31,0x8C,0xAC
3.0335516875,31,0x00,0xAC
3.0335583125,31,0x08,0xAC
3.0335649375,31,0x00,0xAC
3.0335715625,31,0x17,0xAC
3.0335781875,31,0x01,0xAC
3.0335848125,31,0x00,0xAC
3.0336075938,32,0xC0,0xA2       GET STATUS
3.0336141875,32,0x00,0x22 
3.0336255000,33,0x0E,0xA2       WRITE BUFFER
3.0336320938,33,0x00,0xA2
3.0336387187,33,0x48,0xA2
3.0336453437,33,0x65,0xA2
3.0336519688,33,0x6C,0xA2
3.0336585937,33,0x6C,0xA2
3.0336652187,33,0x6F,0xA2
3.0336718438,33,0x20,0xA2
3.0336784687,33,0x77,0xA2
3.0336850937,33,0x6F,0xA2
3.0336917188,33,0x72,0xA2
3.0336983437,33,0x6C,0xA2
3.0337049687,33,0x64,0xA2
3.0337115938,33,0x20,0xA2
3.0337182187,33,0x6E,0xA2
3.0337248437,33,0x75,0xA2
3.0337314688,33,0x6D,0xA2
3.0337380937,33,0x62,0xA2
3.0337447187,33,0x65,0xA2
3.0337513438,33,0x72,0xA2
3.0337579687,33,0x20,0xA2
3.0337645937,33,0x30,0xA2
3.0337712188,33,0x2E,0xA2
3.0337778437,33,0x30,0xA2
3.0337844687,33,0x32,0xA2
3.0337969063,34,0x83,0xA2
3.0338035312,34,0x00,0xA2
3.0338101562,34,0x00,0xA2
3.0338167813,34,0x00,0xA2
3.1079046875,35,0x12,0xAC
3.1079112812,35,0x00,0xAC
3.1079187188,35,0x00,0x00
3.1079253437,35,0x00,0x01
3.1079376250,36,0x02,0xAC
3.1079442500,36,0xFF,0xAC
3.1079508750,36,0xFF,0xAC
4.1084756563,37,0xC0,0xAC
4.1084822500,37,0x00,0x2C
4.1084943750,38,0x08,0xAC
4.1085010000,38,0x02,0xAC
4.1085076250,38,0x01,0xAC
4.1085142500,38,0x02,0xAC
4.1085208750,38,0x01,0xAC
4.1085275000,38,0x00,0xAC
4.1085341250,38,0x00,0xAC
4.1085407500,38,0x00,0xAC
4.1085473750,38,0x00,0xAC
4.1085640000,39,0xC0,0xAC
4.1085705937,39,0x00,0x2C
4.1085819063,40,0x8C,0xAC
4.1085885000,40,0x00,0xAC
4.1085951250,40,0x08,0xAC
4.1086017500,40,0x00,0xAC
4.1086083750,40,0x17,0xAC
4.1086150000,40,0x01,0xAC
4.1086216250,40,0x00,0xAC
4.1086436875,41,0xC0,0xA2
4.1086503125,41,0x00,0x22
4.1086615937,42,0x0E,0xA2
4.1086681875,42,0x00,0xA2
4.1086748125,42,0x48,0xA2
4.1086814375,42,0x65,0xA2
4.1086880625,42,0x6C,0xA2
4.1086946875,42,0x6C,0xA2
4.1087013125,42,0x6F,0xA2
4.1087079375,42,0x20,0xA2
4.1087145625,42,0x77,0xA2
4.1087211875,42,0x6F,0xA2
4.1087278125,42,0x72,0xA2
4.1087344375,42,0x6C,0xA2
4.1087410625,42,0x64,0xA2
4.1087476875,42,0x20,0xA2
4.1087543125,42,0x6E,0xA2
4.1087609375,42,0x75,0xA2
4.1087675625,42,0x6D,0xA2
4.1087742187,42,0x62,0xA2
4.1087808437,42,0x65,0xA2
4.1087874688,42,0x72,0xA2
4.1087940938,42,0x20,0xA2
4.1088007188,42,0x30,0xA2
4.1088073437,42,0x2E,0xA2
4.1088139687,42,0x30,0xA2
4.1088205937,42,0x33,0xA2
4.1088341875,43,0x83,0xA2
4.1088408125,43,0x00,0xA2
4.1088474375,43,0x00,0xA2
4.1088540625,43,0x00,0xA2
4.1829456250,44,0x12,0xAC
4.1829522187,44,0x00,0xAC
4.1829596563,44,0x00,0x00
4.1829662812,44,0x00,0x01
4.1829785937,45,0x02,0xAC
4.1829852187,45,0xFF,0xAC
4.1829918438,45,0xFF,0xAC
5.1834938125,46,0xC0,0xAC
5.1835004063,46,0x00,0x2C
5.1835125000,47,0x08,0xAC
5.1835190938,47,0x02,0xAC
5.1835257188,47,0x01,0xAC
